id,word,level_number,reading_id,created_at,action,protected
ec0986b5-a61c-41a6-8923-cd938e111bd2,"dramatic",1,d060f681-7e1b-405f-9cde-7b59ab1a6354,Wed Mar 18 2026 04:42:08 GMT+0300 (Arabian Standard Time),KEEP,YES
7b9f8c45-5cb6-4618-baa3-94678151c748,"dramatic",1,212b4a0d-072e-4acd-85a3-6d7d910f0589,Wed Mar 18 2026 05:01:25 GMT+0300 (Arabian Standard Time),DELETE,NO
a891ea78-d0b6-4613-b34e-a827cb6833ae,"enormous",1,c812db3e-470a-40bd-b10e-40188e5699dc,Wed Mar 18 2026 04:21:36 GMT+0300 (Arabian Standard Time),KEEP,YES
4023d5af-4e05-44ea-856e-94eb99929abd,"enormous",1,635a21e7-a303-436a-8236-87daa74f7d14,Wed Mar 18 2026 04:45:13 GMT+0300 (Arabian Standard Time),DELETE,NO
e3ad65c5-953b-45fd-bba1-5b85460a4a0a,"exciting",1,d7fa776f-f0dc-4585-a3ea-1046ef633e73,Wed Mar 18 2026 04:26:07 GMT+0300 (Arabian Standard Time),DELETE,NO
f4f3d0f0-0f86-4a49-bb35-f4d06808cc5a,"exciting",1,f23d9dfa-3add-44b6-93c5-8b813e3f2ce8,Wed Mar 18 2026 04:32:47 GMT+0300 (Arabian Standard Time),KEEP,YES
2a0e8c35-39f7-4369-9e89-2695a8aea461,"exciting",1,33e04971-5fc5-4324-b54c-4816dc4409e6,Wed Mar 18 2026 04:46:26 GMT+0300 (Arabian Standard Time),DELETE,NO
84150772-7dc0-4fca-b60d-417c8009c26e,"explore",1,fd8f24d7-02c5-4c7c-a07d-99656ff83c7f,Wed Mar 18 2026 04:20:17 GMT+0300 (Arabian Standard Time),DELETE,NO
d1bdfd11-8cc9-4ac0-ad5f-bfb737b711f2,"explore",1,c812db3e-470a-40bd-b10e-40188e5699dc,Wed Mar 18 2026 04:21:36 GMT+0300 (Arabian Standard Time),KEEP,YES
c630982c-3437-4329-be75-07ae7de9d4ac,"famous",1,f23d9dfa-3add-44b6-93c5-8b813e3f2ce8,Wed Mar 18 2026 04:32:47 GMT+0300 (Arabian Standard Time),KEEP,YES
41656823-edd6-4a8a-ae5f-047f0af2eb7e,"famous",1,635a21e7-a303-436a-8236-87daa74f7d14,Wed Mar 18 2026 04:45:13 GMT+0300 (Arabian Standard Time),DELETE,NO
